img_num,original_output,modified_output
203,0.699921597,0.802188974
204,0.818915809,0.852584419
205,0.724492684,0.849458624
206,0.70351804,0.541384525
207,0.725549059,0.769459076
208,0.678351392,0.673488643
209,0.574960822,0.627641728
210,0.78378028,0.745191252
211,0.702919666,0.696685798
212,0.654481027,0.670082314
213,0.793037945,0.810544716
214,0.712095304,0.727444017
215,0.646078977,0.606520641
216,0.484649745,0.613680085
217,0.563194945,0.543985206
218,0.819861846,0.859924563
219,0.762719707,0.663008906
220,0.650950801,0.639498478
221,0.57323374,0.773413562
222,0.734892617,0.666425993
223,0.660613856,0.70676403
224,0.615751008,0.531193699
225,0.766449232,0.755509448
226,0.721537116,0.773813974
227,0.904561295,0.82867335
228,0.618330211,0.721576472
229,0.893618602,0.844361694
230,0.489118123,0.712992043
231,0.617615205,0.587876102
232,0.742788846,0.766356021
233,0.653094747,0.771842786
234,0.769682956,0.723648462
235,0.623350646,0.723317455
236,0.797445712,0.808397922
237,0.621817149,0.784363015
238,0.687728952,0.679528851
239,0.842217978,0.863120874
240,0.716654952,0.59776533
241,0.609057114,0.679611437
242,0.730403257,0.884028967
243,0.879136358,0.906999581
244,0.723789249,0.782155526
245,0.513983806,0.647719426
246,0.597871314,0.883807752
247,0.829609391,0.819339268
248,0.730540721,0.824687648
249,0.41548518,0.412527872
250,0.515040936,0.521979983
251,0.616895371,0.646419275
252,0.792325661,0.837513282
253,0.826307036,0.816305639
254,0.573056173,0.696531577
255,0.696292562,0.667628351
256,0.721902295,0.685455888
257,0.755683768,0.686202313
258,0.639958414,0.686059824
259,0.807154676,0.801704652
260,0.658027057,0.711316808
261,0.607012219,0.609504842
262,0.544797804,0.681979041
263,0.678599673,0.690571128
264,0.572024199,0.665051536
265,0.601396177,0.601632285
266,0.616161402,0.669838599
267,0.492545672,0.647520402
268,0.802821669,0.86540556
269,0.679377057,0.743869405
270,0.731917191,0.721082536
271,0.548574606,0.626904548
272,0.510819232,0.592474249
273,0.824709546,0.855441726
274,0.681290151,0.760727356
275,0.676970323,0.77209606
276,0.676939872,0.682695923
277,0.6100095,0.549817563
278,0.887216504,0.86064657
279,0.807753972,0.773849888
280,0.557668831,0.639665603
281,0.525303543,0.568104308
282,0.537191919,0.694386223
283,0.793201851,0.746018758
284,0.552967922,0.497264971
285,0.587514185,0.644104197
286,0.523875618,0.688698755
287,0.702518253,0.731923219
288,0.779468157,0.787882461
289,0.692700446,0.780342946
290,0.681171214,0.67287717
291,0.586733865,0.715987444
292,0.87309498,0.856199295
293,0.453653452,0.573046385
294,0.67362573,0.798376932
295,0.549093415,0.731713347
296,0.601304777,0.777817788
297,0.543487847,0.532166261
298,0.774353478,0.672160977
299,0.376491386,0.438400164
300,0.560833725,0.79643183
301,0.80428849,0.868951048
302,0.863176849,0.914379511
303,0.832255723,0.897402385
304,0.817875596,0.915152844
305,0.655887137,0.694172429
306,0.597734119,0.638074055
307,0.743509985,0.822282415
308,0.578200693,0.728255819
309,0.801949704,0.680071025
310,0.708836491,0.866331271
311,0.808173111,0.763277894
312,0.845475082,0.856436398
313,0.811561182,0.804140779
314,0.761049542,0.841561537
315,0.90229968,0.888320709
316,0.832197888,0.820799971
317,0.782845462,0.744137177
318,0.751047283,0.699209472
319,0.564706712,0.686832801
320,0.58926762,0.663267948
321,0.735344037,0.745113869
322,0.750897644,0.834181117
323,0.596946407,0.782648347
324,0.811796792,0.818297917
325,0.648597814,0.658950369
326,0.700451294,0.63215612
327,0.876806195,0.91658711
328,0.612288275,0.715206505
329,0.775746665,0.801531719
330,0.648463711,0.760561721
331,0.732027353,0.798831874
332,0.451919601,0.64656806
333,0.599038201,0.695266449
334,0.746143945,0.813462611
335,0.776475186,0.842393167
336,0.683019492,0.75770965
337,0.726580222,0.790553387
338,0.809413528,0.778348848
339,0.554725463,0.787093706
340,0.834642633,0.814721802
341,0.70287434,0.714164277
342,0.806423851,0.803824889
343,0.552648696,0.551142411
344,0.742471556,0.682379537
345,0.819733393,0.920251024
346,0.782230421,0.862638184
347,0.765352019,0.784085278
348,0.698983261,0.70004431
349,0.571669429,0.695677034
350,0.833939127,0.84444441
351,0.76420585,0.869350314
352,0.599670207,0.625938088
353,0.832276132,0.906835606
354,0.729025746,0.802195155
355,0.909012887,0.886813845
356,0.725101724,0.821504174
357,0.733634273,0.743727828
358,0.583854653,0.57896383
359,0.858252969,0.869435403
360,0.652170874,0.705357358
361,0.712720801,0.788407095
362,0.777156789,0.727638549
363,0.75515396,0.822135069
364,0.798693382,0.709573504
365,0.639207387,0.763823894
366,0.824189219,0.821680917
367,0.603431004,0.620660915
368,0.561147918,0.675405382
369,0.67304668,0.680903572
370,0.761917883,0.757955457
371,0.637586147,0.616454738
372,0.544243322,0.690667091
373,0.628066902,0.631417987
374,0.563285459,0.6984655
375,0.819960899,0.848709495
376,0.712419422,0.800001007
377,0.520545113,0.550195815
378,0.811673848,0.779333083
379,0.868402943,0.840756438
380,0.725558688,0.883274363
381,0.806887988,0.839029712
382,0.868588112,0.931435282
383,0.706924415,0.871614692
384,0.671809472,0.756536065
385,0.545158324,0.625182119
386,0.822185911,0.742505694
387,0.686640963,0.766147218
388,0.817091619,0.80062155
389,0.720624254,0.748960184
390,0.696435577,0.712856364
