filename,expression_error
0141.png,0.16122029721736908
0142.png,0.17066538333892822
0143.png,0.1576593965291977
0144.png,0.10345635563135147
0145.png,0.2535747289657593
0146.png,0.1617475152015686
0147.png,0.11748851090669632
0148.png,0.1355653703212738
0149.png,0.10657632350921631
0150.png,0.13042928278446198
0151.png,0.12338623404502869
0152.png,0.11641111969947815
0153.png,0.15847086906433105
0154.png,0.14766784012317657
0155.png,0.19970522820949554
0156.png,0.14546318352222443
0157.png,0.11963041871786118
0158.png,0.2164413034915924
0159.png,0.1392962485551834
0160.png,0.13984061777591705
0161.png,0.1415366381406784
0162.png,0.1601453274488449
0163.png,0.17493979632854462
0164.png,0.163238987326622
0165.png,0.1789037436246872
0166.png,0.2921642065048218
0167.png,0.16736187040805817
0168.png,0.1488860845565796
0169.png,0.31432926654815674
0170.png,0.1370791494846344
0171.png,0.17080490291118622
0172.png,0.17291012406349182
0173.png,0.1622556447982788
0174.png,0.20820988714694977
0175.png,0.16745063662528992
0176.png,0.12266282737255096
0177.png,0.24850158393383026
0178.png,0.20285052061080933
0179.png,0.08349446952342987
0180.png,0.14896933734416962
0181.png,0.14748182892799377
0182.png,0.28051087260246277
0183.png,0.12466123700141907
0184.png,0.16050200164318085
0185.png,0.178476020693779
0186.png,0.17433999478816986
0187.png,0.18125949800014496
0188.png,0.16713912785053253
0189.png,0.13857339322566986
0190.png,0.12245707213878632
0191.png,0.1173757016658783
0192.png,0.19633840024471283
0193.png,0.18967846035957336
0194.png,0.20855164527893066
0195.png,0.11967171728610992
0196.png,0.17896214127540588
0197.png,0.10576058179140091
0198.png,0.2055482268333435
0199.png,0.16775812208652496
0200.png,0.16947858035564423
0201.png,0.17202338576316833
0202.png,0.20182541012763977
0203.png,0.19283224642276764
0204.png,0.13868901133537292
0205.png,0.14515560865402222
0206.png,0.20437732338905334
0207.png,0.2775700092315674
0208.png,0.119378462433815
0209.png,0.1890782117843628
0210.png,0.11409126967191696
0211.png,0.20693635940551758
0212.png,0.07542905956506729
0213.png,0.20386762917041779
0214.png,0.18706507980823517
0215.png,0.13973209261894226
0216.png,0.2328309863805771
0217.png,0.14408919215202332
0218.png,0.10294602811336517
0219.png,0.13336807489395142
0220.png,0.12979288399219513
0221.png,0.18968838453292847
0222.png,0.12487824261188507
0223.png,0.09718583524227142
0224.png,0.10543295741081238
0225.png,0.1694973111152649
0226.png,0.21003840863704681
0227.png,0.12133769690990448
0228.png,0.1827104240655899
0229.png,0.234627828001976
0230.png,0.13356681168079376
0231.png,0.1251337230205536
0232.png,0.14373590052127838
0233.png,0.20735950767993927
0234.png,0.17210596799850464
0235.png,0.13463911414146423
0236.png,0.15534931421279907
