filename,expression_error
0290.png,0.17335301637649536
0291.png,0.11830417066812515
0292.png,0.18201370537281036
0293.png,0.11269690096378326
0294.png,0.08039627969264984
0295.png,0.13730886578559875
0296.png,0.16349895298480988
0297.png,0.0950421541929245
0298.png,0.1793884038925171
0299.png,0.17778843641281128
0300.png,0.12002604454755783
0301.png,0.14214366674423218
0302.png,0.15730547904968262
0303.png,0.13170237839221954
0304.png,0.12431619316339493
0305.png,0.2424192726612091
0306.png,0.10311900824308395
0307.png,0.15383538603782654
0308.png,0.14659200608730316
0309.png,0.13267244398593903
0310.png,0.08242525160312653
0311.png,0.17429015040397644
0312.png,0.08583082258701324
0313.png,0.19323566555976868
0314.png,0.10698766261339188
0315.png,0.10719546675682068
0316.png,0.13544370234012604
0317.png,0.14724832773208618
0318.png,0.13353711366653442
0319.png,0.1269349306821823
0320.png,0.14247405529022217
0321.png,0.1490863710641861
0322.png,0.14852850139141083
0323.png,0.17138147354125977
0324.png,0.20858649909496307
0325.png,0.15232211351394653
0326.png,0.14951270818710327
0327.png,0.191950723528862
0328.png,0.14177744090557098
0329.png,0.13353151082992554
0330.png,0.12158616632223129
0331.png,0.11433343589305878
0332.png,0.14494022727012634
0333.png,0.09860436618328094
0334.png,0.2511789798736572
0335.png,0.19193632900714874
0336.png,0.19958432018756866
0337.png,0.14361260831356049
0338.png,0.13081781566143036
0339.png,0.17131826281547546
0340.png,0.18720269203186035
0341.png,0.16599303483963013
0342.png,0.2221977263689041
0343.png,0.17164382338523865
0344.png,0.10027175396680832
0345.png,0.13447988033294678
0346.png,0.12440874427556992
0347.png,0.13897372782230377
0348.png,0.13894349336624146
0349.png,0.13295215368270874
0350.png,0.1065845862030983
0351.png,0.15883086621761322
0352.png,0.13565047085285187
0353.png,0.17601321637630463
0354.png,0.15954500436782837
0355.png,0.1437280923128128
0356.png,0.1671837866306305
0357.png,0.19694747030735016
0358.png,0.14361979067325592
0359.png,0.10988103598356247
0360.png,0.1635240912437439
0361.png,0.23005808889865875
0362.png,0.1435302197933197
0363.png,0.19185978174209595
0364.png,0.14402370154857635
0365.png,0.17980459332466125
0366.png,0.0895090326666832
0367.png,0.07105327397584915
0368.png,0.13317613303661346
0369.png,0.18829376995563507
0370.png,0.20091232657432556
0371.png,0.14437633752822876
0372.png,0.17470835149288177
0373.png,0.12481522560119629
0374.png,0.18983881175518036
0375.png,0.17288561165332794
0376.png,0.17609192430973053
0377.png,0.11155226081609726
0378.png,0.1558062881231308
0379.png,0.24874645471572876
0380.png,0.24086497724056244
0381.png,0.16340772807598114
0382.png,0.18950046598911285
0383.png,0.10571961849927902
0384.png,0.2589470446109772
0385.png,0.12443115562200546
0386.png,0.10644408315420151
0387.png,0.1265430897474289
0388.png,0.12810444831848145
0389.png,0.11016722768545151
0390.png,0.1785343736410141
0391.png,0.13667093217372894
0392.png,0.12899571657180786
0393.png,0.08888860791921616
0394.png,0.14963674545288086
0395.png,0.07429363578557968
0396.png,0.17610369622707367
0397.png,0.09319152683019638
0398.png,0.1515379399061203
0399.png,0.171913743019104
0400.png,0.05987581983208656
0401.png,0.14489534497261047
0402.png,0.15617583692073822
0403.png,0.13019916415214539
0404.png,0.23324187099933624
0405.png,0.07048521190881729
0406.png,0.13821421563625336
0407.png,0.20091871917247772
0408.png,0.1770227700471878
0409.png,0.13918361067771912
0410.png,0.18809162080287933
0411.png,0.12364081293344498
0412.png,0.22686614096164703
0413.png,0.1410023421049118
0414.png,0.22546660900115967
0415.png,0.15077432990074158
0416.png,0.24214567244052887
0417.png,0.11725489795207977
0418.png,0.16458049416542053
0419.png,0.10969938337802887
0420.png,0.20043227076530457
0421.png,0.1070147305727005
0422.png,0.23322215676307678
0423.png,0.22742250561714172
0424.png,0.1457251012325287
0425.png,0.1378653198480606
0426.png,0.1552916020154953
0427.png,0.13927903771400452
0428.png,0.14036358892917633
0429.png,0.12221691012382507
0430.png,0.1317843645811081
0431.png,0.1750924289226532
0432.png,0.18883079290390015
0433.png,0.157195582985878
0434.png,0.12953054904937744
0435.png,0.19485284388065338
0436.png,0.12543031573295593
0437.png,0.12129209190607071
0438.png,0.18414469063282013
0439.png,0.17221392691135406
0440.png,0.17639239132404327
0441.png,0.17443393170833588
0442.png,0.1404552459716797
0443.png,0.21008335053920746
0444.png,0.12957175076007843
0445.png,0.20096127688884735
0446.png,0.15923239290714264
0447.png,0.14959406852722168
0448.png,0.1840958148241043
0449.png,0.14780659973621368
0450.png,0.14229996502399445
0451.png,0.21703854203224182
0452.png,0.1170005053281784
0453.png,0.17958545684814453
0454.png,0.15044207870960236
0455.png,0.14778611063957214
0456.png,0.14355091750621796
0457.png,0.10812389850616455
0458.png,0.17135417461395264
0459.png,0.11541040986776352
0460.png,0.12653465569019318
0461.png,0.14636877179145813
0462.png,0.11192376911640167
0463.png,0.14550815522670746
0464.png,0.2093774527311325
0465.png,0.09237149357795715
0466.png,0.11419723182916641
0467.png,0.13017767667770386
0468.png,0.18888579308986664
0469.png,0.20016062259674072
0470.png,0.1056973785161972
0471.png,0.10613766312599182
0472.png,0.26352035999298096
0473.png,0.17953495681285858
0474.png,0.1975620537996292
0475.png,0.13363198935985565
0476.png,0.0919359102845192
0477.png,0.14892587065696716
0478.png,0.12493414431810379
0479.png,0.2509402632713318
0480.png,0.14502491056919098
0481.png,0.11088700592517853
0482.png,0.1383146345615387
0483.png,0.17848441004753113
0484.png,0.15232932567596436
0485.png,0.11008814722299576
0486.png,0.17321957647800446
0487.png,0.13454176485538483
0488.png,0.19857056438922882
0489.png,0.10801022499799728
0490.png,0.18275442719459534
0491.png,0.13560740649700165
0492.png,0.15572357177734375
0493.png,0.2078741490840912
0494.png,0.19885164499282837
0495.png,0.15095241367816925
0496.png,0.12602004408836365
0497.png,0.1509203314781189
0498.png,0.09758037328720093
0499.png,0.16078881919384003
MEAN,0.15226758478581906
